PURCHASEORDERID,PURCHASEORDERITEM,PRODUCT.PRODUCTID,NOTEID,CURRENCY,GROSSAMOUNT,NETAMOUNT,TAXAMOUNT,QUANTITY,QUANTITYUNIT,DELIVERYDATE
300000007,70,HT-1007,,USD,1781.43,1497,284.43,3,EA,2015-05-01
300000007,80,HT-1102,,USD,82.11,69,13.11,1,EA,2015-09-07
300000008,10,HT-1600,,ARS,1428,1200,228,2,EA,2015-11-08
300000008,20,HT-1022,,ARS,487.9,410,77.9,2,EA,2015-07-12
300000008,30,HT-1107,,ARS,71.16,59.8,11.36,2,EA,2015-05-16
300000008,40,HT-1600,,ARS,2142,1800,342,3,EA,2015-05-30
300000008,50,HT-1022,,ARS,243.95,205,38.95,1,EA,2015-10-11
300000008,60,HT-1107,,ARS,71.16,59.8,11.36,2,EA,2015-11-04
300000009,10,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-05-03
300000009,20,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-11-11
300000009,30,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-02-21
300000010,10,HT-2026,,USD,71.38,59.98,11.4,2,EA,2014-12-21
300000010,20,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-05-15
300000010,30,HT-1100,,USD,320.94,269.7,51.24,3,EA,2014-12-18
300000010,40,HT-2026,,USD,71.38,59.98,11.4,2,EA,2015-08-14
300000010,50,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-03-29
300000010,60,HT-1100,,USD,106.98,89.9,17.08,1,EA,2015-02-28
300000010,70,HT-2026,,USD,107.06,89.97,17.09,3,EA,2015-02-23
300000011,10,HT-1007,,USD,593.81,499,94.81,1,EA,2015-06-04
300000011,20,HT-1102,,USD,246.33,207,39.33,3,EA,2015-11-19
300000011,30,HT-2001,,USD,1606.46,1349.97,256.49,3,EA,2015-06-13
300000011,40,HT-1007,,USD,593.81,499,94.81,1,EA,2015-11-28
300000012,10,HT-1103,,EUR,183.26,154,29.26,2,EA,2015-06-01
300000012,20,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-10-02
300000012,30,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2015-07-09
300000012,40,HT-1103,,EUR,274.89,231,43.89,3,EA,2015-12-10
300000012,50,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-01-13
300000012,60,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2015-06-24
300000012,70,HT-1103,,EUR,91.63,77,14.63,1,EA,2015-09-23
300000012,80,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-12-16
300000012,90,HT-1010,,EUR,7136.43,5997,1139.43,3,EA,2015-07-23
300000013,10,HT-1104,,JPY,65.45,55,10.45,1,EA,2014-12-13
300000013,20,HT-1603,,JPY,6069,5100,969,3,EA,2015-12-03
300000013,30,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-02-26
300000013,40,HT-1104,,JPY,130.9,110,20.9,2,EA,2015-09-10
300000013,50,HT-1603,,JPY,6069,5100,969,3,EA,2015-04-04
300000013,60,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-06-18
300000013,70,HT-1104,,JPY,130.9,110,20.9,2,EA,2014-12-09
300000014,10,HT-1603,,JPY,2023,1700,323,1,EA,2015-04-24
300000014,20,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-07-15
300000014,30,HT-1104,,JPY,65.45,55,10.45,1,EA,2015-07-17
300000014,40,HT-1603,,JPY,2023,1700,323,1,EA,2015-06-01
300000014,50,HT-1011,,JPY,2735.81,2299,436.81,1,EA,2015-06-06
300000014,60,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-10-17
300000015,10,HT-1601,,MXN,3213,2700,513,3,EA,2015-07-01
300000015,20,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-11-28
300000015,30,HT-1106,,MXN,40.46,34,6.46,1,EA,2015-03-03
300000015,40,HT-1601,,MXN,3213,2700,513,3,EA,2015-07-12
300000015,50,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-09-13
300000015,60,HT-1106,,MXN,40.46,34,6.46,1,EA,2015-05-25
300000015,70,HT-1601,,MXN,2142,1800,342,2,EA,2015-06-07
300000015,80,HT-1021,,MXN,531.93,447,84.93,3,EA,2015-05-29
300000015,90,HT-1106,,MXN,80.92,68,12.92,2,EA,2015-10-06
300000016,10,HT-2001,,USD,1070.98,899.98,171,2,EA,2015-04-20
300000016,20,HT-1007,,USD,593.81,499,94.81,1,EA,2015-02-05
300000016,30,HT-1102,,USD,164.22,138,26.22,2,EA,2015-03-14
300000017,10,HT-2000,,EUR,297.49,249.99,47.5,1,EA,2014-12-10
300000017,20,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2015-04-04
300000018,10,HT-1100,,USD,320.94,269.7,51.24,3,EA,2015-08-01
300000018,20,HT-2026,,USD,107.06,89.97,17.09,3,EA,2015-07-21
300000018,30,HT-1002,,USD,1868.3,1570,298.3,1,EA,2015-05-13
300000018,40,HT-1100,,USD,213.96,179.8,34.16,2,EA,2014-12-09
300000019,10,HT-1600,,ARS,2142,1800,342,3,EA,2015-01-29
300000019,20,HT-1022,,ARS,243.95,205,38.95,1,EA,2015-04-10
300000019,30,HT-1107,,ARS,106.74,89.7,17.04,3,EA,2015-12-09
300000019,40,HT-1600,,ARS,714,600,114,1,EA,2015-07-14
300000019,50,HT-1022,,ARS,731.85,615,116.85,3,EA,2015-01-23
300000019,60,HT-1107,,ARS,35.58,29.9,5.68,1,EA,2015-05-09
300000020,10,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-09-23
300000020,20,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-12-23
300000020,30,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-08-17
300000020,40,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-04-28
300000020,50,HT-1000,,EUR,1137.64,956,181.64,1,EA,2015-01-30
300000020,60,HT-1091,,EUR,30.94,26,4.94,1,EA,2015-11-22
300000020,70,HT-6100,,EUR,1116.22,938,178.22,2,EA,2014-12-24
300000020,80,HT-1000,,EUR,3412.92,2868,544.92,3,EA,2015-10-14
300000020,90,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-11-16
300000021,10,HT-2026,,USD,71.38,59.98,11.4,2,EA,2015-08-06
300000021,20,HT-1002,,USD,1868.3,1570,298.3,1,EA,2015-03-16
300000021,30,HT-1100,,USD,213.96,179.8,34.16,2,EA,2015-03-31
300000022,10,HT-1603,,JPY,6069,5100,969,3,EA,2015-07-07
300000022,20,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2015-10-19
300000023,10,HT-1106,,MXN,121.38,102,19.38,3,EA,2015-11-07
300000023,20,HT-1601,,MXN,3213,2700,513,3,EA,2015-02-22
300000023,30,HT-1021,,MXN,177.31,149,28.31,1,EA,2015-06-18
300000023,40,HT-1106,,MXN,80.92,68,12.92,2,EA,2014-12-15
300000024,10,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-05-18
300000024,20,HT-1010,,EUR,7136.43,5997,1139.43,3,EA,2015-09-13
300000024,30,HT-1103,,EUR,274.89,231,43.89,3,EA,2015-10-31
300000024,40,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-12-18
300000024,50,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2015-09-28
300000024,60,HT-1103,,EUR,91.63,77,14.63,1,EA,2015-07-21
300000024,70,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-11-03
300000025,10,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2015-01-18
300000025,20,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2015-03-30
300000025,30,HT-2025,,EUR,107.08,89.98,17.1,2,EA,2015-11-20
300000025,40,HT-1003,,EUR,3927,3300,627,2,EA,2015-08-02
300000025,50,HT-1101,,EUR,285.24,239.7,45.54,3,EA,2015-04-28
300000025,60,HT-2025,,EUR,107.08,89.98,17.1,2,EA,2015-08-04
300000025,70,HT-1003,,EUR,3927,3300,627,2,EA,2015-05-16
300000025,80,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2015-08-28
300000025,90,HT-2025,,EUR,160.61,134.97,25.64,3,EA,2015-09-02
300000025,100,HT-1003,,EUR,5890.5,4950,940.5,3,EA,2015-06-21
300000026,10,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2015-10-30
300000026,20,HT-2025,,EUR,53.54,44.99,8.55,1,EA,2015-12-29
300000026,30,HT-1003,,EUR,3927,3300,627,2,EA,2015-01-16
300000026,40,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2015-02-08
300000026,50,HT-2025,,EUR,107.08,89.98,17.1,2,EA,2015-04-23
300000026,60,HT-1003,,EUR,3927,3300,627,2,EA,2014-12-04
300000026,70,HT-1101,,EUR,285.24,239.7,45.54,3,EA,2015-09-16
300000026,80,HT-2025,,EUR,160.61,134.97,25.64,3,EA,2015-06-28
300000026,90,HT-1003,,EUR,3927,3300,627,2,EA,2015-07-27
300000026,100,HT-1101,,EUR,285.24,239.7,45.54,3,EA,2015-08-02
300000027,10,HT-2025,,EUR,160.61,134.97,25.64,3,EA,2015-01-11
300000027,20,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2015-03-05
300000027,30,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2015-03-09
300000027,40,HT-2025,,EUR,107.08,89.98,17.1,2,EA,2015-08-26
300000027,50,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2015-05-05
300000027,60,HT-1101,,EUR,190.16,159.8,30.36,2,EA,2015-06-07
300000027,70,HT-2025,,EUR,53.54,44.99,8.55,1,EA,2015-03-18
300000027,80,HT-1003,,EUR,3927,3300,627,2,EA,2015-01-27
300000028,10,HT-1106,,MXN,121.38,102,19.38,3,EA,2015-05-14
300000028,20,HT-1601,,MXN,3213,2700,513,3,EA,2015-05-23
300000028,30,HT-1021,,MXN,531.93,447,84.93,3,EA,2015-03-26
300000028,40,HT-1106,,MXN,40.46,34,6.46,1,EA,2014-12-08
300000028,50,HT-1601,,MXN,1071,900,171,1,EA,2015-04-02
300000029,10,HT-1007,,USD,1187.62,998,189.62,2,EA,2014-12-07
300000029,20,HT-1102,,USD,82.11,69,13.11,1,EA,2015-12-22
300000029,30,HT-2001,,USD,1070.98,899.98,171,2,EA,2015-03-08
300000029,40,HT-1007,,USD,593.81,499,94.81,1,EA,2015-08-03
300000029,50,HT-1102,,USD,246.33,207,39.33,3,EA,2015-01-11
300000030,10,HT-1603,,JPY,2023,1700,323,1,EA,2015-06-03
300000030,20,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-03-15
300000030,30,HT-1104,,JPY,130.9,110,20.9,2,EA,2015-07-03
300000030,40,HT-1603,,JPY,6069,5100,969,3,EA,2015-08-19
300000030,50,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-05-30
300000030,60,HT-1104,,JPY,130.9,110,20.9,2,EA,2015-10-03
300000030,70,HT-1603,,JPY,6069,5100,969,3,EA,2015-03-24
300000031,10,HT-1007,,USD,1781.43,1497,284.43,3,EA,2015-05-23
300000031,20,HT-1102,,USD,82.11,69,13.11,1,EA,2014-12-24
300000031,30,HT-2001,,USD,1606.46,1349.97,256.49,3,EA,2015-10-28
300000032,10,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-09-20
300000032,20,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-09-08
300000032,30,HT-1603,,JPY,2023,1700,323,1,EA,2015-08-12
300000032,40,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-05-31
300000032,50,HT-1104,,JPY,130.9,110,20.9,2,EA,2015-11-17
300000032,60,HT-1603,,JPY,2023,1700,323,1,EA,2015-01-09
300000032,70,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2015-10-28
300000032,80,HT-1104,,JPY,65.45,55,10.45,1,EA,2015-12-14
300000033,10,HT-1600,,ARS,1428,1200,228,2,EA,2015-08-18
300000033,20,HT-1022,,ARS,487.9,410,77.9,2,EA,2015-07-23
300000033,30,HT-1107,,ARS,71.16,59.8,11.36,2,EA,2015-07-11
300000033,40,HT-1600,,ARS,2142,1800,342,3,EA,2015-05-17
300000033,50,HT-1022,,ARS,243.95,205,38.95,1,EA,2015-07-22
300000033,60,HT-1107,,ARS,71.16,59.8,11.36,2,EA,2015-08-15
300000034,10,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-11-13
300000034,20,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-11-02
300000034,30,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-11-15
300000035,10,HT-2026,,USD,71.38,59.98,11.4,2,EA,2015-10-03
300000035,20,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-09-11
300000035,30,HT-1100,,USD,320.94,269.7,51.24,3,EA,2015-05-21
300000035,40,HT-2026,,USD,71.38,59.98,11.4,2,EA,2015-01-22
300000035,50,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-05-30
300000035,60,HT-1100,,USD,106.98,89.9,17.08,1,EA,2015-09-28
300000035,70,HT-2026,,USD,107.06,89.97,17.09,3,EA,2015-10-02
300000036,10,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2015-02-28
300000036,20,HT-1101,,EUR,285.24,239.7,45.54,3,EA,2014-12-07
300000036,30,HT-2025,,EUR,160.61,134.97,25.64,3,EA,2015-01-30
300000036,40,HT-1003,,EUR,1963.5,1650,313.5,1,EA,2015-02-23
300000037,10,HT-1103,,EUR,183.26,154,29.26,2,EA,2014-12-13
300000037,20,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-07-01
300000037,30,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2015-04-05
300000037,40,HT-1103,,EUR,274.89,231,43.89,3,EA,2014-12-10
300000037,50,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-06-07
300000037,60,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2015-07-16
300000037,70,HT-1103,,EUR,91.63,77,14.63,1,EA,2015-01-05
300000037,80,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-10-29
300000037,90,HT-1010,,EUR,7136.43,5997,1139.43,3,EA,2015-10-05
300000038,10,HT-1104,,JPY,65.45,55,10.45,1,EA,2015-08-18
300000038,20,HT-1603,,JPY,6069,5100,969,3,EA,2015-01-09
300000038,30,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-04-24
300000038,40,HT-1104,,JPY,130.9,110,20.9,2,EA,2015-12-28
300000038,50,HT-1603,,JPY,6069,5100,969,3,EA,2014-12-26
300000038,60,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-01-02
300000038,70,HT-1104,,JPY,130.9,110,20.9,2,EA,2014-12-19
300000039,10,HT-1603,,JPY,2023,1700,323,1,EA,2015-10-15
300000039,20,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-10-05
300000039,30,HT-1104,,JPY,65.45,55,10.45,1,EA,2015-10-08
300000039,40,HT-1603,,JPY,2023,1700,323,1,EA,2015-12-26
300000039,50,HT-1011,,JPY,2735.81,2299,436.81,1,EA,2015-12-23
300000039,60,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-03-01
300000040,10,HT-1601,,MXN,3213,2700,513,3,EA,2015-10-12
300000040,20,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-05-23
300000040,30,HT-1106,,MXN,40.46,34,6.46,1,EA,2015-12-05
300000040,40,HT-1601,,MXN,3213,2700,513,3,EA,2015-12-31
300000040,50,HT-1021,,MXN,354.62,298,56.62,2,EA,2015-09-01
300000040,60,HT-1106,,MXN,40.46,34,6.46,1,EA,2015-11-11
300000040,70,HT-1601,,MXN,2142,1800,342,2,EA,2015-06-28
300000040,80,HT-1021,,MXN,531.93,447,84.93,3,EA,2015-06-30
300000040,90,HT-1106,,MXN,80.92,68,12.92,2,EA,2015-02-21
300000041,10,HT-2001,,USD,1070.98,899.98,171,2,EA,2015-03-30
300000041,20,HT-1007,,USD,593.81,499,94.81,1,EA,2015-09-22
300000041,30,HT-1102,,USD,164.22,138,26.22,2,EA,2015-04-17
300000042,10,HT-2026,,USD,35.69,29.99,5.7,1,EA,2015-03-24
300000042,20,HT-1002,,USD,3736.6,3140,596.6,2,EA,2015-07-21
300000043,10,HT-1103,,EUR,274.89,231,43.89,3,EA,2015-01-06
300000043,20,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-01-24
300000043,30,HT-1010,,EUR,2378.81,1999,379.81,1,EA,2015-12-21
300000043,40,HT-1103,,EUR,183.26,154,29.26,2,EA,2015-01-25
300000044,10,HT-1600,,ARS,2142,1800,342,3,EA,2015-05-19
300000044,20,HT-1022,,ARS,243.95,205,38.95,1,EA,2015-10-07
300000044,30,HT-1107,,ARS,106.74,89.7,17.04,3,EA,2015-04-03
300000044,40,HT-1600,,ARS,2142,1800,342,3,EA,2015-05-07
300000044,50,HT-1022,,ARS,243.95,205,38.95,1,EA,2015-03-18
300000045,10,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-07-17
300000045,20,HT-6100,,EUR,1116.22,938,178.22,2,EA,2015-10-31
300000045,30,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-08-15
300000045,40,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-09-03
300000045,50,HT-6100,,EUR,558.11,469,89.11,1,EA,2015-11-08
300000045,60,HT-1000,,EUR,1137.64,956,181.64,1,EA,2014-12-09
300000045,70,HT-1091,,EUR,61.88,52,9.88,2,EA,2015-05-29
300000045,80,HT-6100,,EUR,1674.33,1407,267.33,3,EA,2015-01-27
300000045,90,HT-1000,,EUR,2275.28,1912,363.28,2,EA,2015-08-21
300000046,10,HT-1100,,USD,213.96,179.8,34.16,2,EA,2015-12-02
300000046,20,HT-2026,,USD,35.69,29.99,5.7,1,EA,2015-09-28
300000046,30,HT-1002,,USD,3736.6,3140,596.6,2,EA,2014-12-14
300000047,10,HT-1106,,MXN,121.38,102,19.38,3,EA,2015-09-16
300000047,20,HT-1601,,MXN,3213,2700,513,3,EA,2015-08-23
300000048,10,HT-1011,,JPY,8207.43,6897,1310.43,3,EA,2015-04-30
300000048,20,HT-1104,,JPY,196.35,165,31.35,3,EA,2015-10-15
300000048,30,HT-1603,,JPY,2023,1700,323,1,EA,2015-08-27
300000048,40,HT-1011,,JPY,5471.62,4598,873.62,2,EA,2015-12-22
300000049,10,HT-1103,,EUR,274.89,231,43.89,3,EA,2015-02-26
300000049,20,HT-2000,,EUR,892.46,749.97,142.49,3,EA,2015-07-31
300000049,30,HT-1010,,EUR,7136.43,5997,1139.43,3,EA,2014-12-23
300000049,40,HT-1103,,EUR,274.89,231,43.89,3,EA,2015-11-01
300000049,50,HT-2000,,EUR,297.49,249.99,47.5,1,EA,2015-11-09
300000049,60,HT-1010,,EUR,4757.62,3998,759.62,2,EA,2015-02-17
300000049,70,HT-1103,,EUR,91.63,77,14.63,1,EA,2015-06-17
300000049,80,HT-2000,,EUR,594.98,499.98,95,2,EA,2015-08-18
300000050,10,HT-1061,,EUR,8.33,7,1.33,1,EA,2015-05-02
300000050,20,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-01-09
300000050,30,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-08-25
300000050,40,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-04-21
300000050,50,HT-1061,,EUR,24.99,21,3.99,3,EA,2015-09-10
300000050,60,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-08-18
300000050,70,HT-1061,,EUR,16.66,14,2.66,2,EA,2015-03-21
300000050,80,HT-6130,,EUR,3472.42,2918,554.42,2,EA,2015-11-04
300000050,90,HT-1061,,EUR,24.99,21,3.99,3,EA,2015-09-29
300000050,100,HT-6130,,EUR,5208.63,4377,831.63,3,EA,2015-10-19
300000051,10,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-09-10
300000051,20,HT-1502,,EUR,29750,25000,4750,1,EA,2014-12-23
300000051,30,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-06-21
300000051,40,HT-1502,,EUR,59500,50000,9500,2,EA,2015-02-22
300000051,50,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-02-19
300000051,60,HT-1502,,EUR,59500,50000,9500,2,EA,2015-02-01
300000051,70,HT-1060,,EUR,32.13,27,5.13,3,EA,2015-04-27
300000051,80,HT-1502,,EUR,89250,75000,14250,3,EA,2015-05-18
300000051,90,HT-1060,,EUR,21.42,18,3.42,2,EA,2015-11-06
300000051,100,HT-1502,,EUR,89250,75000,14250,3,EA,2015-07-25
300000052,10,HT-1052,,EUR,606.9,510,96.9,3,EA,2015-10-19
300000052,20,HT-1210,,EUR,2854.81,2399,455.81,1,EA,2015-06-24
300000052,30,HT-1052,,EUR,404.6,340,64.6,2,EA,2015-05-24
300000052,40,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2015-02-07
300000052,50,HT-1052,,EUR,202.3,170,32.3,1,EA,2015-07-28
300000052,60,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2015-01-19
300000052,70,HT-1052,,EUR,202.3,170,32.3,1,EA,2015-01-08
300000052,80,HT-1210,,EUR,5709.62,4798,911.62,2,EA,2015-12-17
300000053,10,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-02-02
300000053,20,HT-1501,,JPY,53550,45000,8550,3,EA,2015-07-14
300000053,30,HT-1056,,JPY,424.83,357,67.83,3,EA,2015-11-12
300000053,40,HT-1501,,JPY,17850,15000,2850,1,EA,2014-12-17
300000053,50,HT-1056,,JPY,141.61,119,22.61,1,EA,2015-03-08
300000054,10,HT-1501,,JPY,35700,30000,5700,2,EA,2015-01-19
300000054,20,HT-1056,,JPY,141.61,119,22.61,1,EA,2015-10-06
300000054,30,HT-1501,,JPY,35700,30000,5700,2,EA,2015-05-22
300000054,40,HT-1056,,JPY,141.61,119,22.61,1,EA,2015-10-07
300000054,50,HT-1501,,JPY,53550,45000,8550,3,EA,2015-02-01
300000055,10,HT-1051,,USD,117.81,99,18.81,1,EA,2015-05-18
300000055,20,HT-1138,,USD,2882.18,2422,460.18,2,EA,2015-01-01
300000055,30,HT-1051,,USD,235.62,198,37.62,2,EA,2015-05-12
300000055,40,HT-1138,,USD,4323.27,3633,690.27,3,EA,2015-05-14
300000055,50,HT-1051,,USD,235.62,198,37.62,2,EA,2015-05-25
300000055,60,HT-1138,,USD,2882.18,2422,460.18,2,EA,2015-02-27
300000055,70,HT-1051,,USD,353.43,297,56.43,3,EA,2015-05-24
300000056,10,HT-1500,,EUR,17850,15000,2850,3,EA,2015-03-30
300000056,20,HT-1055,,EUR,117.81,99,18.81,1,EA,2015-02-28
300000056,30,HT-1500,,EUR,17850,15000,2850,3,EA,2015-05-18
300000057,10,HT-1042,,EUR,830.62,698,132.62,2,EA,2015-05-04
300000057,20,HT-1120,,EUR,928.2,780,148.2,3,EA,2015-11-09
300000057,30,HT-1042,,EUR,415.31,349,66.31,1,EA,2015-05-05
300000057,40,HT-1120,,EUR,618.8,520,98.8,2,EA,2015-10-19
300000057,50,HT-1042,,EUR,830.62,698,132.62,2,EA,2015-06-29
300000057,60,HT-1120,,EUR,309.4,260,49.4,1,EA,2014-12-09
300000057,70,HT-1042,,EUR,1245.93,1047,198.93,3,EA,2015-03-07
